text,sentiment,sentiment_encoded,processed_text
"TRENDING: New Yorkers encounter empty supermarket shelves (pictured, Wegmans in Brooklyn), sold-out online grocers (FoodKick, MaxDelivery) as #coronavirus-fearing shoppers stock up ",Negative,0,trending new yorkers encounter empty supermarket shelf pictured wegmans brooklyn soldout online grocer foodkick maxdelivery coronavirusfearing shopper stock
"When I couldn't find hand sanitizer at Fred Meyer, I turned to #Amazon. But $114.97 for a 2 pack of Purell??!!Check out how  #coronavirus concerns are driving up prices. ",Positive,2,couldnt find hand sanitizer fred meyer turned amazon pack purellcheck coronavirus concern driving price
Find out how you can protect yourself and loved ones from #coronavirus. ?,Positive,2,find protect loved one coronavirus
"#Panic buying hits #NewYork City as anxious shoppers stock up on food&amp;medical supplies after #healthcare worker in her 30s becomes #BigApple 1st confirmed #coronavirus patient OR a #Bloomberg staged event?

",Negative,0,panic buying hit newyork city anxious shopper stock foodampmedical supply healthcare worker becomes bigapple st confirmed coronavirus patient bloomberg staged event
#toiletpaper #dunnypaper #coronavirus #coronavirusaustralia #CoronaVirusUpdate #Covid_19 #9News  #Corvid19 #7NewsMelb #dunnypapergate #Costco    One week everyone buying baby milk powder the next everyone buying up toilet paper. ,Neutral,1,toiletpaper dunnypaper coronavirus coronavirusaustralia coronavirusupdate covid news corvid newsmelb dunnypapergate costco one week everyone buying baby milk powder next everyone buying toilet paper
Do you remember the last time you paid $2.99 a gallon for regular gas in Los Angeles?Prices at the pump are going down. A look at how the #coronavirus is impacting prices. 4pm @ABC7 ,Neutral,1,remember last time paid gallon regular gas los angelesprices pump going look coronavirus impacting price pm abc
Voting in the age of #coronavirus = hand sanitizer ? #SuperTuesday ,Positive,2,voting age coronavirus hand sanitizer supertuesday
"@DrTedros ""We cant stop #COVID19 without protecting #healthworkers.
Prices of surgical masks have increased six-fold, N95 respirators have more than trebled &amp; gowns cost twice as much""-@DrTedros #coronavirus",Neutral,1,drtedros cant stop covid without protecting healthworkers price surgical mask increased sixfold n respirator trebled amp gown cost twice muchdrtedros coronavirus
"HI TWITTER! I am a pharmacist. I sell hand sanitizer for a living! Or I do when any exists. Like masks, it is sold the fuck out everywhere. SHOULD YOU BE WORRIED? No. Use soap. SHOULD YOU VISIT TWENTY PHARMACIES LOOKING FOR THE LAST BOTTLE? No. Pharmacies are full of sick people.",Negative,0,hi twitter pharmacist sell hand sanitizer living exists like mask sold fuck everywhere worried use soap visit twenty pharmacy looking last bottle pharmacy full sick people
"Anyone been in a supermarket over the last few days? Went to do my NORMAL shop last night &amp; ??is the sight that greeted me. Barmy! (Btw, whats so special about tinned tomatoes? ????????????). #Covid_19 #Dublin ",Positive,2,anyone supermarket last day went normal shop last night amp sight greeted barmy btw whats special tinned tomato covid dublin
